date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:46:08	6046/6046	---M--	200	added ('OK')	application/javascript	date:Sat,%2027%20Jul%202024%2003:25:12%20GMT	https://decorenterprise.com/wp-content/themes/decor/assets/js/primary-navigation.js?ver=2.3	C:/My%20Web%20Sites/last/decorenterprise.com/wp-content/themes/decor/assets/js/primary-navigationa361.js	(from https://decorenterprise.com/)
23:46:09	6757/6757	---MC-	200	added ('OK')	application/json	date:Tue,%2012%20Nov%202024%2018:16:08%20GMT	https://decorenterprise.com/wp-json/wp/v2/pages/9	C:/My%20Web%20Sites/last/decorenterprise.com/wp-json/wp/v2/pages/9.json	(from https://decorenterprise.com/)
23:46:09	242318/242318	---MC-	200	added ('OK')	application/json	date:Tue,%2012%20Nov%202024%2018:16:08%20GMT	https://decorenterprise.com/wp-json/	C:/My%20Web%20Sites/last/decorenterprise.com/wp-json/index.html	(from https://decorenterprise.com/)
23:46:09	829/829	---M--	200	added ('OK')	text/xml	date:Tue,%2012%20Nov%202024%2018:16:09%20GMT	https://decorenterprise.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/last/decorenterprise.com/xmlrpc0db0.php	(from https://decorenterprise.com/)
23:46:10	2275/2275	---MC-	200	added ('OK')	application/json	date:Tue,%2012%20Nov%202024%2018:16:09%20GMT	https://decorenterprise.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdecorenterprise.com%2F	C:/My%20Web%20Sites/last/decorenterprise.com/wp-json/oembed/1.0/embed143d.json	(from https://decorenterprise.com/)
23:46:11	2447/2447	---MC-	200	added ('OK')	text/xml	date:Tue,%2012%20Nov%202024%2018:16:09%20GMT	https://decorenterprise.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdecorenterprise.com%2F&format=xml	C:/My%20Web%20Sites/last/decorenterprise.com/wp-json/oembed/1.0/embed375c	(from https://decorenterprise.com/)
23:46:12	1087/1087	---M--	200	added ('OK')	image/png	date:Wed,%2031%20Jul%202024%2003:54:16%20GMT	https://decorenterprise.com/wp-content/uploads/2024/07/cropped-decor-fav-icon192x192-32x32.png	C:/My%20Web%20Sites/last/decorenterprise.com/wp-content/uploads/2024/07/cropped-decor-fav-icon192x192-32x32.png	(from https://decorenterprise.com/)
23:46:12	10344/10344	---M--	200	added ('OK')	image/png	date:Wed,%2031%20Jul%202024%2003:54:16%20GMT	https://decorenterprise.com/wp-content/uploads/2024/07/cropped-decor-fav-icon192x192-192x192.png	C:/My%20Web%20Sites/last/decorenterprise.com/wp-content/uploads/2024/07/cropped-decor-fav-icon192x192-192x192.png	(from https://decorenterprise.com/)
23:46:36	9683/9683	---M--	200	added ('OK')	image/png	date:Wed,%2031%20Jul%202024%2003:54:16%20GMT	https://decorenterprise.com/wp-content/uploads/2024/07/cropped-decor-fav-icon192x192-180x180.png	C:/My%20Web%20Sites/last/decorenterprise.com/wp-content/uploads/2024/07/cropped-decor-fav-icon192x192-180x180.png	(from https://decorenterprise.com/)
23:46:36	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2012%20Nov%202024%2018:16:36%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/last/www.googletagmanager.com/gtm.185445.delayed	(from https://decorenterprise.com/)
23:47:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Nov%202024%2018:17:09%20GMT	https://decorenterprise.com/projects	C:/My%20Web%20Sites/last/decorenterprise.com/projects.19.delayed	(from https://decorenterprise.com/)
23:47:10	38180/38180	---M--	200	added ('OK')	image/gif	date:Sun,%2008%20Sep%202024%2004:26:49%20GMT	https://decorenterprise.com/wp-content/plugins/add-search-to-menu/public/images/spinner.gif	C:/My%20Web%20Sites/last/decorenterprise.com/wp-content/plugins/add-search-to-menu/public/images/spinner.gif	(from https://decorenterprise.com/)
23:47:10	71129/71129	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202024%2018:17:09%20GMT	https://decorenterprise.com/projects/	C:/My%20Web%20Sites/last/decorenterprise.com/projects/index.html	(from https://decorenterprise.com/)
